iter	Passed	Remaining
0	0	47
1	0	43
2	2	83
3	3	76
4	3	74
5	4	73
6	5	74
7	6	78
8	7	78
9	8	77
10	9	77
11	10	76
12	11	74
13	12	73
14	13	76
15	14	75
16	15	75
17	16	77
18	18	76
19	19	77
20	21	80
21	22	79
22	23	77
23	24	76
24	25	75
25	25	73
26	26	72
27	27	70
28	28	69
29	29	67
30	29	66
31	30	64
32	31	62
33	31	61
34	32	59
35	32	58
36	33	56
37	33	55
38	34	53
39	34	52
40	35	50
41	35	49
42	36	47
43	36	46
44	37	45
45	37	44
46	38	43
47	38	41
48	39	40
49	39	39
50	39	38
51	40	37
52	40	36
53	41	35
54	41	33
55	41	32
56	42	31
57	42	30
58	42	29
59	43	28
60	43	27
61	43	26
62	44	25
63	44	25
64	44	24
65	45	23
66	45	22
67	45	21
68	45	20
69	46	19
70	46	18
71	46	18
72	46	17
73	47	16
74	47	15
75	47	15
76	48	14
77	48	13
78	48	12
79	48	12
80	49	11
81	49	10
82	49	10
83	50	9
84	50	8
85	50	8
86	51	7
87	51	6
88	51	6
89	51	5
90	51	5
91	52	4
92	52	3
93	52	3
94	52	2
95	53	2
96	53	1
97	53	1
98	53	0
99	53	0
